cluster_id,direction_name,level,n_plans,n_students,n_subjects,plans,plans_detail
18,05.03.03 Картография и геоинформатика,Бакалавриат,8,71,80,"[484783, 502412, 520642, 616534, 683793, 800589, 838350, 990443]","484783(сем[3, 4],10ст); 502412(сем[1, 2],15ст); 520642(сем[5, 6],10ст); 616534(сем[5, 6],10ст); 683793(сем[7, 8],10ст); 800589(сем[3, 4],16ст); 838350(сем[1, 2],17ст); 990443(сем[7, 8],17ст)"
36,Неизвестное (Основы математической обработки информац...),Бакалавриат,3,69,37,"[179146, 777228, 936646]","179146(сем[1, 2],32ст); 777228(сем[3, 4],34ст); 936646(сем[1, 2],34ст)"
28,42.03.01 Реклама и СО,Бакалавриат,5,65,48,"[104137, 219410, 538019, 758116, 858250]","104137(сем[3, 4],29ст); 219410(сем[7, 8],17ст); 538019(сем[7, 8],17ст); 758116(сем[5, 6],27ст); 858250(сем[5, 6],18ст)"
24,37.03.01 Психология,Бакалавриат,7,60,45,"[167348, 275522, 372765, 514916, 534485, 697169, 974892]","167348(сем[7, 8],16ст); 275522(сем[5, 6],16ст); 372765(сем[3, 4],19ст); 514916(сем[1, 2],7ст); 534485(сем[5, 6],16ст); 697169(сем[1, 2],21ст); 974892(сем[3, 4],16ст)"
27,39.03.02 Социальная работа,Бакалавриат,6,49,59,"[532537, 632510, 659438, 667555, 678036, 854625]","532537(сем[3, 4],15ст); 632510(сем[5, 6],14ст); 659438(сем[3, 4],14ст); 667555(сем[7, 8],20ст); 678036(сем[5, 6],20ст); 854625(сем[1, 2],14ст)"
31,Неизвестное (ГИС в географии...),Бакалавриат,5,46,66,"[127825, 301625, 338324, 354641, 645031]","127825(сем[7, 8],12ст); 301625(сем[5, 6],15ст); 338324(сем[5, 6],13ст); 354641(сем[7, 8],18ст); 645031(сем[3, 4],13ст)"
32,38.03.02 Менеджмент,Бакалавриат,5,46,52,"[337564, 357653, 590443, 670829, 946082]","337564(сем[3, 4],16ст); 357653(сем[1, 2],12ст); 590443(сем[5, 6],17ст); 670829(сем[1, 2],17ст); 946082(сем[3, 4],17ст)"
30,05.03.01 Геология,Бакалавриат,5,45,60,"[375860, 446074, 485275, 989477, 994598]","375860(сем[3, 4],16ст); 446074(сем[3, 4],16ст); 485275(сем[1, 2],14ст); 989477(сем[5, 6],15ст); 994598(сем[1, 2],15ст)"
33,39.03.01 Социология,Бакалавриат,4,40,37,"[105847, 247953, 600255, 817229]","105847(сем[7, 8],22ст); 247953(сем[5, 6],12ст); 600255(сем[3, 4],14ст); 817229(сем[5, 6],26ст)"
54,Неизвестное (Политическая журналистика...),Бакалавриат,1,35,20,[839415],"839415(сем[7, 8],35ст)"
34,44.03.05 Педобразование (ин.яз.),Бакалавриат,3,34,38,"[194766, 358821, 908586]","194766(сем[1, 2],17ст); 358821(сем[1, 2],17ст); 908586(сем[3, 4],16ст)"
29,12.03.04 Биотехнические системы,Бакалавриат,5,32,51,"[261588, 656819, 796041, 854170, 958430]","261588(сем[1, 2],12ст); 656819(сем[1, 2],10ст); 796041(сем[3, 4],9ст); 854170(сем[5, 6],10ст); 958430(сем[3, 4],10ст)"
49,Неизвестное (Государственный экзамен...),Бакалавриат,1,32,12,[835109],"835109(сем[7, 8],32ст)"
43,Неизвестное (Основы математической обработки информац...),Специалитет,1,31,17,[473854],"473854(сем[1, 2],31ст)"
